OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A,x,y
952419,2693593,A000764489,1522990800000,10:48:00,2018,ABRIL,VIERNES,1523029680000,AC 17-KR 137A 15,VOLCAMIENTO,FONTIBON,2,CICLISTA,N,NA,MASCULINO,77,CICLISTA,-74.1709199,4.695903929999986
952514,2692787,A000764413,1522731600000,22:00:00,2018,ABRIL,MARTES,1522810800000,KR 9-CL 129 02,CHOQUE,USAQUEN,1,MOTOCICLISTA,S,1522990800000,MASCULINO,20,MOTOCICLISTA,-74.03263781999999,4.708577709999986
952591,2691965,A000760327,1522299600000,16:40:00,2018,MARZO,JUEVES,1522359600000,AV AVENIDA DE LAS AMERICAS-KR 70B 58,CHOQUE,KENNEDY,1,PASAJERO,NA,NA,MASCULINO,22,PASAJERO,-74.13185881700002,4.629580417999989
952604,2691977,A000763945,1522472400000,17:20:00,2018,MARZO,SABADO,1522534800000,KR 16A-CL 163A 2,ATROPELLO,USAQUEN,NA,PEATON,NA,NA,MASCULINO,17,PEATON,-74.03830884000001,4.742366259999983
952618,2691990,A000760364,1522040400000,20:15:00,2018,MARZO,LUNES,1522113300000,KR 8-CL 174 02,ATROPELLO,USAQUEN,NA,PEATON,S,1522126800000,FEMENINO,71,PEATON,-74.02764316000003,4.753290649999997
952797,2692102,A000764064,1522213200000,03:15:00,2018,MARZO,MIERCOLES,1522224900000,KR 17A-CL 67ABIS S 2,ATROPELLO,CIUDAD BOLIVAR,NA,PEATON,S,1522818000000,MASCULINO,40,PEATON,-74.13729999999998,4.5505999999999744
952841,2691366,A000763979,1522040400000,07:30:00,2018,MARZO,LUNES,1522067400000,AK 14-CL 66 2,CHOQUE,BARRIOS UNIDOS,2,MOTOCICLISTA,N,NA,MASCULINO,30,MOTOCICLISTA,-74.06389999999999,4.653099999999995
953404,2694428,A000765395,1523336400000,08:20:00,2018,ABRIL,MARTES,1523366400000,TR 85-AC 53 2,ATROPELLO,ENGATIVA,NA,PEATON,NA,NA,MASCULINO,76,PEATON,-74.11257386199998,4.679342089999977
953656,2692081,A000764387,1522558800000,01:15:00,2018,ABRIL,DOMINGO,1522563300000,CL 43-KR 81G S 24,ATROPELLO,KENNEDY,NA,PEATON,NA,NA,MASCULINO,51,PEATON,-74.16933705999998,4.625608069999998
953659,2692083,A000764387,1522558800000,01:15:00,2018,ABRIL,DOMINGO,1522563300000,CL 43-KR 81G S 24,ATROPELLO,KENNEDY,NA,PEATON,S,1523250000000,MASCULINO,32,PEATON,-74.16933705999998,4.625608069999998
953675,2692098,A000763463,1522040400000,17:30:00,2018,MARZO,LUNES,1522103400000,KR 6-CL 97D E 54,ATROPELLO,USME,NA,PEATON,S,1522040400000,MASCULINO,52,PEATON,-74.113513289000025,4.498552064000023
953721,2692144,A000764262,1522299600000,21:15:00,2018,MARZO,JUEVES,1522376100000,CL 26-KR 78K S 2,CHOQUE,KENNEDY,2,CICLISTA,S,1523250000000,MASCULINO,21,CICLISTA,-74.15022441999997,4.627553599999999
953803,2692222,A000764386,1522558800000,03:10:00,2018,ABRIL,DOMINGO,1522570200000,AV AVENIDA BOYACA-CL 64C 17,CHOQUE,ENGATIVA,1,CICLISTA,N,NA,MASCULINO,28,CICLISTA,-74.10236746999999,4.677436909999983
953833,2692250,A000764388,1522645200000,16:10:00,2018,ABRIL,LUNES,1522703400000,CL 70-KR 107A 26,ATROPELLO,ENGATIVA,NA,PEATON,NA,NA,FEMENINO,74,PEATON,-74.12508685,4.7050345200000265
954496,2693785,A000763981,1522904400000,23:44:00,2018,ABRIL,JUEVES,1522989840000,CL 72-KR 64 20,ATROPELLO,BARRIOS UNIDOS,NA,PEATON,NA,NA,MASCULINO,41,PEATON,-74.08263985000002,4.674935919999996
954594,2692979,A000764488,1522818000000,12:48:00,2018,ABRIL,MIERCOLES,1522864080000,CL 13-KR 105 10,CHOQUE,FONTIBON,2,CICLISTA,N,NA,MASCULINO,51,CICLISTA,-74.15244464,4.672739649999983
954595,2692980,A000764487,1522818000000,05:30:00,2018,ABRIL,MIERCOLES,1522837800000,CL 13-KR 105 2,CHOQUE,FONTIBON,1,MOTOCICLISTA,N,NA,MASCULINO,24,MOTOCICLISTA,-74.15245235999998,4.672751889999972
954881,2668286,A000692692,1512622800000,05:05:00,2017,DICIEMBRE,JUEVES,1512641100000,CL 59C-KR 87H S 23,ATROPELLO,BOSA,NA,PEATON,NA,NA,FEMENINO,40,PEATON,-74.18996311500001,4.623994641000024
