OBJECTID;CODIGO_ACCIDENTADO;FORMULARIO;FECHA_OCURRENCIA_ACC;HORA_OCURRENCIA_ACC;ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;DIA_OCURRENCIA_ACC;FECHA_HORA_ACC;DIRECCION;CLASE_ACC;LOCALIDAD;CODIGO_VEHICULO;CONDICION;MUERTE_POSTERIOR;FECHA_POSTERIOR_MUERTE;GENERO;EDAD;CONDICION_A
1285155;2376718;A1422554;1,38795E+12;16:00:00;2013;DICIEMBRE;MIERCOLES;1,38801E+12;AV AVENIDA CARACAS-CL 17 02;ATROPELLO;SANTA FE;NA;PEATON;NA;NA;MASCULINO;25;PEATON
1285192;2376755;A1421832;1,38795E+12;6:20:00;2013;DICIEMBRE;MIERCOLES;1,38797E+12;KR 9-CL 140 02;CHOQUE;USAQUEN;1;MOTOCICLISTA;NA;NA;MASCULINO;38;MOTOCICLISTA
1285383;2377950;A1422844;1,38838E+12;18:40:00;2013;DICIEMBRE;LUNES;1,38845E+12;KR 10-CL 100 02;ATROPELLO;CHAPINERO;NA;PEATON;NA;NA;MASCULINO;41;PEATON
1285586;2378153;A1421592;1,3889E+12;15:15:00;2014;ENERO;DOMINGO;1,38895E+12;KR 80I-CL 65 S 71;ATROPELLO;BOSA;NA;PEATON;NA;NA;MASCULINO;64;PEATON
1285592;2378159;A1422534;1,38881E+12;11:30:00;2014;ENERO;SABADO;1,38885E+12;CL 17-KR113 26;CHOQUE;FONTIBON;2;MOTOCICLISTA;NA;NA;MASCULINO;45;MOTOCICLISTA
1285749;2358622;A1392623;1,38069E+12;22:40:00;2013;OCTUBRE;MIERCOLES;1,38077E+12;CL 57Q-KR75F 02;ATROPELLO;BOSA;NA;PEATON;S;1,38121E+12;FEMENINO;53;PEATON
1286160;2377729;A1421473;1,38847E+12;22:00:00;2013;DICIEMBRE;MARTES;1,38855E+12;TR 2D-CL49D S 02;ATROPELLO;RAFAEL URIBE URIBE;NA;PEATON;NA;NA;FEMENINO;6;PEATON
1286363;2379125;A1423121;1,38942E+12;17:50:00;2014;ENERO;SABADO;1,38948E+12;AV AVENIDA BOYACA-CL 3B 18;ATROPELLO;KENNEDY;NA;PEATON;S;1,3895E+12;MASCULINO;66;PEATON
1286417;2379244;A1423262;1,3895E+12;7:00:00;2014;ENERO;DOMINGO;1,38953E+12;AV AVENIDA SUBA-AV AVENIDA BOYACA 02;CHOQUE;SUBA;1;MOTOCICLISTA;S;1,3895E+12;MASCULINO;23;MOTOCICLISTA
1286483;2379374;A1423409;1,38959E+12;14:40:00;2014;ENERO;LUNES;1,38964E+12;CL 74-KR17F S 02;ATROPELLO;CIUDAD BOLIVAR;NA;PEATON;NA;NA;MASCULINO;0;PEATON
1286484;2379375;A1423409;1,38959E+12;14:40:00;2014;ENERO;LUNES;1,38964E+12;CL 74-KR17F S 02;ATROPELLO;CIUDAD BOLIVAR;NA;PEATON;NA;NA;FEMENINO;42;PEATON
1286485;2379376;A1423409;1,38959E+12;14:40:00;2014;ENERO;LUNES;1,38964E+12;CL 74-KR17F S 02;ATROPELLO;CIUDAD BOLIVAR;NA;PEATON;NA;NA;FEMENINO;21;PEATON
1286486;2379377;A1423409;1,38959E+12;14:40:00;2014;ENERO;LUNES;1,38964E+12;CL 74-KR17F S 02;ATROPELLO;CIUDAD BOLIVAR;NA;PEATON;S;1,38976E+12;MASCULINO;16;PEATON
